Starting telemetry collector: boards=2 interval=30s database=/home/pi/Documents/Inverter_Board/data/telemetry.sqlite3
2026-07-26T14:35:06.918Z telemetry cycle: 2 stored, 0 skipped (inverter-board-1@192.168.50.216=stored, inverter-board-2@192.168.50.112=stored)
2026-08-02T10:42:28.663Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:42:58.650Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:43:28.631Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:43:58.704Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:44:28.702Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:44:58.705Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:45:28.657Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:45:58.668Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:46:28.636Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:46:58.722Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:47:28.709Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:47:58.698Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:48:28.676Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:48:58.664Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:49:28.640Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:49:58.628Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:50:28.717Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:50:58.695Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:51:28.688Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:51:58.679Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:52:35.208Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:52:58.974Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:53:31.674Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:53:58.712Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:54:28.715Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:54:58.687Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:55:28.658Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:55:58.638Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:56:28.729Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:56:58.707Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:57:28.695Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:57:58.676Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:58:28.658Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:58:58.644Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:59:28.730Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T10:59:58.715Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:00:28.700Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:00:58.682Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:01:28.664Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:01:58.652Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:02:28.634Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:02:58.718Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:03:28.702Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:03:58.688Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:04:28.671Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:04:58.655Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:05:28.640Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:05:58.734Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:06:28.710Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:06:58.694Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:07:28.676Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:07:58.647Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:08:28.644Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
2026-08-02T11:08:58.731Z telemetry cycle: 3 stored, 0 skipped (inverter-board-1-bms1@192.168.1.5/api/telemetry=stored, inverter-board-1-bms2@192.168.1.5/api/telemetry2=stored, inverter-board-2-bms1@192.168.1.167/api/telemetry=stored)
